Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
12,2.6,"[0.0, 0.0, 18.8, 0.0, 26.6, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 3.1, 3.1, 0.0, 9.4, 0.0, 7.8, 6.2, 0.0, 0.0, 3.1, 0.0, 12.5, 0.0, 15.6, 0.0, 57.8, 9.2, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",45.8,29819.94922,42,90.08955956,7380.136719,0.326903069,1
13,5,"[0.0, 1.6, 32.8, 0.0, 45.3, 0.0, 0.0, 1.6, 9.2, 0.0, 26.6, 0.0, 4.7, 0.0, 17.5, 28.1, 7.8, 1.6, 1.6, 0.0, 0.0, 0.0, 4.7, 3.1, 21.9, 0.0, 0.0, 14.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.1, 6.2, 58.5, 17.2, 10.9, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0]",45.8,29819.18359,34,90.08955956,7380.136719,0.32538103,1
14,4.5,"[0.0, 0.0, 10.8, 0.0, 31.8, 0.0, 7.7, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 6.2, 0.0, 0.0, 1.5, 3.1, 7.7, 9.2, 1.5, 7.7, 6.2, 0.0, 4.6, 0.0, 6.2, 0.0, 0.0, 0.0, 72.3, 0.0, 1.6, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5]",45.8,29818.0625,37,90.08955956,7380.136719,0.327007948,1
15,5.8,"[0.0, 0.0, 6.2, 4.6, 36.9, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 6.1, 0.0, 4.6, 0.0, 6.2, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.5, 0.0, 0.0, 0.0, 67.7, 0.0, 7.7, 3.1, 4.7, 0.0, 0.0, 0.0, 0.0, 4.7]",45.8,29818.71094,39,90.08955956,7380.136719,0.326954519,1
16,5.3,"[9.4, 3.1, 21.9, 0.0, 26.6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 7.8, 0.0, 0.0, 28.1, 0.0, 15.6, 7.8, 0.0, 7.8, 0.0, 0.0, 14.1, 1.6, 7.8, 9.4, 0.0, 1.6, 0.0, 4.7, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 70.3, 0.0, 0.0, 0.0, 0.0, 7.8, 4.7, 6.2, 6.2, 1.6]",45.8,29822.4375,39,90.08955956,7380.136719,0.325138055,1
17,3.8,"[0.0, 0.0, 28.1, 0.0, 34.4, 0.0, 3.1, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.4, 3.1, 18.8, 1.6, 0.0, 0.0, 4.7, 0.0, 6.2, 4.7, 12.5, 0.0, 31.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",45.7,29808.04297,39,90.08955956,7380.136719,0.325239409,1
18,2.9,"[0.0, 1.6, 21.9, 0.0, 26.6, 15.6, 4.7, 7.8, 12.5, 4.7, 1.6, 0.0, 0.0, 1.6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.4, 0.0, 7.8, 0.0, 0.0, 0.0, 1.6, 0.0, 7.8, 0.0, 3.1, 0.0, 0.0, 0.0, 72.3, 0.0, 6.2, 18.8, 23.8, 0.0, 6.2, 0.0, 0.0, 9.2]",45.8,29846.96875,40,90.08955956,7380.136719,0.326813841,1
19,5,"[0.0, 0.0, 9.2, 0.0, 33.8, 0.0, 0.0, 0.0, 3.1, 0.0, 27.7, 0.0, 15.4, 0.0, 0.0, 27.7, 3.1, 0.0, 4.6, 1.5, 0.0, 0.0, 0.0, 0.0, 7.7, 0.0, 7.7, 1.5, 1.5, 0.0, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",45.8,29848.07813,41,90.08955956,7380.136719,0.327039794,1
20,5.4,"[0.0, 0.0, 16.9, 0.0, 27.7, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 6.2, 0.0, 15.4, 0.0, 1.5, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 0.0, 12.3, 12.3, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 0.0, 10.8, 0.0, 0.0, 1.5, 0.0, 1.6]",45.8,29854.10547,38,90.08955956,7380.136719,0.325215804,1
21,3.6,"[1.6, 0.0, 15.6, 0.0, 23.4, 0.0, 4.7, 1.6, 4.7, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 40.6, 0.0, 0.0, 10.9, 40.6, 0.0, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",45.8,29854.05469,42,90.08955956,7380.136719,0.326757828,1
22,3.5,"[0.0, 1.6, 12.3, 17.2, 36.9, 0.0, 4.7, 0.0, 3.1, 1.6, 0.0, 0.0, 4.7, 1.6, 21.9, 0.0, 6.2, 0.0, 20.3, 0.0, 1.6, 0.0, 0.0, 3.1, 1.6, 1.6, 6.2, 0.0, 3.1, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 21.9, 0.0, 62.5, 6.2, 0.0, 0.0, 4.7, 15.6, 0.0, 3.1, 10.9, 3.1]",45.8,29854.01953,32,90.08955956,7380.136719,0.326846236,1
23,5.8,"[18.5, 0.0, 29.2, 0.0, 35.9, 0.0, 1.5, 0.0, 3.1, 0.0, 20.0, 0.0, 0.0, 0.0, 6.2, 9.2, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 1.5, 20.0, 1.6, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.2, 0.0, 4.7, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 3.1]",45.8,29856.19531,39,90.08955956,7380.136719,0.326707764,1
24,4.1,"[0.0, 0.0, 9.2, 0.0, 32.3, 4.6, 12.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 16.9, 10.8, 6.2, 3.1, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.8, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.5]",45.8,29849.67578,39,90.08955956,7380.136719,0.326874408,1
25,3.6,"[0.0, 0.0, 10.8, 0.0, 27.3, 0.0, 6.2, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.1, 7.7, 7.7, 0.0, 0.0, 0.0, 0.0, 7.6, 0.0, 61.5, 7.7, 9.2, 0.0, 0.0, 4.5, 0.0, 0.0, 0.0, 1.6]",45.8,29846.42969,37,90.08955956,7380.136719,0.325517218,1
26,5.7,"[7.8, 1.6, 42.2, 0.0, 40.6, 0.0, 1.6, 0.0, 1.6, 0.0, 23.4, 0.0, 0.0, 0.0, 0.0, 33.8, 0.0, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 1.6, 1.6, 9.4, 6.2, 1.6, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 15.6, 1.5, 10.9, 6.2, 64.6, 0.0, 4.7, 10.8, 9.4, 0.0, 0.0, 0.0, 0.0, 1.5]",45.8,29846.07031,38,90.08955956,7380.136719,0.326966906,1
