Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor,Simulator
46,4.6,"[0.0, 0.0, 18.8, 0.0, 29.7, 1.6, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 4.7, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 78.1, 0.0, 0.0, 0.0, 4.7, 0.0, 4.7, 0.0, 0.0, 0.0]",44.6,29043.46875,41,85.6534481,7016.730469,0.326991581,1,Isaac Sim
47,4.7,"[0.0, 0.0, 13.8, 0.0, 30.8, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 24.6, 1.5, 0.0, 15.4, 0.0, 3.1, 0.0, 6.2, 0.0, 0.0, 4.6, 4.6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 78.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",44.6,29036.68359,37,85.6534481,7016.730469,0.325187211,1,Isaac Sim
48,5.1,"[0.0, 0.0, 7.7, 0.0, 27.7, 0.0, 25.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 23.1, 0.0, 4.6, 4.7, 9.2, 3.1, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",44.6,29031.16406,33,85.6534481,7016.730469,0.327104603,1,Isaac Sim
49,3.6,"[6.2, 0.0, 10.9, 0.0, 18.8, 0.0, 10.8, 0.0, 1.6, 0.0, 0.0, 0.0, 7.8, 0.0, 18.8, 0.0, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 15.6, 0.0, 15.6, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.6, 0.0, 0.0, 0.0, 76.9, 0.0, 15.6, 6.2, 17.2, 6.2, 0.0, 6.2, 4.6, 17.2]",44.6,29031.83984,33,85.6534481,7016.730469,0.326776743,1,Isaac Sim
50,4.1,"[1.6, 3.1, 18.8, 1.6, 35.9, 0.0, 3.1, 1.6, 1.6, 1.6, 1.6, 1.6, 0.0, 4.8, 0.0, 0.0, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 1.6, 0.0, 3.1, 0.0, 12.5, 13.8, 4.7, 0.0, 1.6, 4.6, 0.0, 1.6, 3.1, 0.0, 4.7, 1.6, 71.9, 1.6, 7.8, 9.4, 1.6, 3.1, 4.8, 1.6, 6.2, 3.1]",44.6,29034.27344,37,85.6534481,7016.730469,0.327271677,1,Isaac Sim
51,6.6,"[0.0, 0.0, 12.3, 0.0, 29.2, 1.5, 26.2, 0.0, 1.5, 0.0, 0.0, 0.0, 3.1, 0.0, 24.2, 26.2, 0.0, 0.0, 1.5, 6.2, 0.0, 0.0, 0.0, 24.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 60.6, 12.3, 6.2, 4.6, 7.7, 0.0, 0.0, 0.0, 0.0, 1.5]",44.6,29035.78125,39,85.6534481,7016.730469,0.326746882,1,Isaac Sim
52,4.4,"[0.0, 0.0, 16.9, 0.0, 13.8, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.3, 0.0, 65.6, 11.1, 4.6, 9.2, 18.5, 6.2, 0.0, 0.0, 0.0, 0.0]",44.6,29036.19922,36,85.6534481,7016.730469,0.326903859,1,Isaac Sim
53,3.9,"[1.6, 0.0, 10.9, 0.0, 32.8, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.6, 9.4, 14.1, 1.6, 0.0, 0.0, 3.1, 3.1, 4.5, 25.0, 0.0, 78.5, 0.0, 0.0, 1.6, 1.6, 6.2, 0.0, 1.6, 0.0, 1.5]",44.6,29041.48438,40,85.6534481,7016.730469,0.327168288,1,Isaac Sim
54,5.1,"[26.6, 0.0, 26.6, 1.6, 48.4, 0.0, 6.2, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 25.0, 1.6, 1.6, 21.9, 0.0, 0.0, 0.0, 0.0, 14.1, 4.7, 0.0, 4.7, 4.7, 0.0, 0.0, 7.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 78.8, 0.0, 0.0, 0.0, 29.7, 0.0, 0.0, 0.0, 0.0, 3.1]",44.6,29042.78906,32,85.6534481,7016.730469,0.326834393,1,Isaac Sim
55,3.4,"[0.0, 0.0, 21.5, 1.5, 29.2, 1.5, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 15.4, 4.6, 0.0, 6.2, 1.5, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1]",44.6,29044.04297,36,85.6534481,7016.730469,0.326831107,1,Isaac Sim
56,3.1,"[0.0, 0.0, 10.8, 4.5, 23.1, 0.0, 6.2, 0.0, 0.0, 3.1, 0.0, 0.0, 26.2, 0.0, 4.6, 1.5, 4.6, 0.0, 0.0, 0.0, 0.0, 3.1, 6.2, 1.5, 0.0, 3.1, 12.3, 9.2, 13.8, 4.6, 0.0, 1.5, 0.0, 1.5, 22.7, 4.7, 4.6, 10.8, 64.6, 4.6, 12.3, 0.0, 0.0, 9.2, 9.2, 0.0, 0.0, 1.5]",44.6,29046.49609,31,85.6534481,7016.730469,0.326770659,1,Isaac Sim
57,3.7,"[0.0, 0.0, 15.2, 30.8, 47.7, 0.0, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 25.0, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 3.1, 0.0, 9.2, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 20.0, 0.0, 0.0, 15.4, 0.0, 0.0, 0.0, 0.0]",44.6,29049.25781,38,85.6534481,7016.730469,0.326670944,1,Isaac Sim
58,6.7,"[0.0, 0.0, 15.6, 0.0, 31.2, 0.0, 9.4, 0.0, 1.6, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 7.8, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.2, 0.0, 7.8, 0.0, 1.6, 0.0, 0.0, 1.6, 4.8, 3.1]",44.6,29051.78516,38,85.6534481,7016.730469,0.325409178,1,Isaac Sim
59,3.9,"[1.6, 0.0, 15.6, 0.0, 25.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 6.2, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 9.4, 0.0, 1.5, 0.0, 28.1, 0.0, 0.0, 0.0, 0.0, 10.8, 73.4, 3.1, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 4.7]",44.6,29058.00391,36,85.6534481,7016.730469,0.326591023,1,Isaac Sim
