Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
12,8.4,"[3.1, 0.0, 24.6, 34.8, 45.3, 4.7, 6.2, 0.0, 6.3, 3.1, 1.6, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 53.8, 0.0, 0.0, 9.4, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 26.6]",48.4,31564.46875,39,86.7975235,7110.453125,0.325246773,1
13,4.9,"[1.6, 0.0, 3.1, 0.0, 42.2, 0.0, 7.8, 0.0, 0.0, 7.8, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 7.8, 0.0, 0.0, 0.0, 0.0, 66.2, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 73.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.8]",48.4,31567.65625,39,86.7975235,7110.453125,0.326827746,1
14,4.4,"[10.9, 0.0, 4.7, 0.0, 31.2, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 28.1, 0.0, 0.0, 1.6, 0.0, 0.0, 3.1, 0.0, 4.7, 0.0, 18.5, 3.1, 9.4, 6.2, 3.1, 0.0, 3.1, 0.0, 6.2, 6.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.6]",48.5,31571.76563,38,86.7975235,7110.453125,0.326680027,1
15,8.1,"[10.8, 0.0, 16.9, 0.0, 52.3, 0.0, 21.5, 6.2, 18.5, 0.0, 3.1, 12.3, 23.1, 3.1, 20.0, 6.2, 6.2, 0.0, 4.6, 12.3, 0.0, 0.0, 26.2, 33.8, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 70.3, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 26.2]",48.5,31578.83984,40,86.7975235,7110.453125,0.325197448,1
16,5.8,"[9.1, 7.7, 17.2, 0.0, 32.3, 0.0, 6.2, 0.0, 1.5, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 1.5, 47.7, 0.0, 3.1, 7.7, 0.0, 0.0, 1.5, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 72.3, 0.0, 6.2, 3.0, 0.0, 1.5, 0.0, 1.5, 1.5, 26.2]",48.5,31577.14453,37,86.7975235,7110.453125,0.325393904,1
17,6,"[17.2, 0.0, 3.1, 0.0, 25.0, 0.0, 6.2, 0.0, 3.1, 1.6, 9.2, 0.0, 7.7, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 1.6, 1.6, 0.0, 60.9, 0.0, 3.1, 3.1, 1.6, 1.6, 0.0, 1.6, 1.6, 1.5, 1.6, 4.6, 0.0, 1.5, 1.6, 1.6, 64.6, 4.7, 3.1, 1.6, 17.2, 1.6, 1.6, 1.6, 1.5, 28.1]",48.5,31576.48047,37,86.7975235,7110.453125,0.326822627,1
18,5.8,"[21.9, 0.0, 18.8, 20.3, 34.4, 0.0, 6.2, 7.8, 18.5, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 1.6, 26.6, 4.7, 15.6, 35.9, 0.0, 56.2, 0.0, 1.6, 1.6, 0.0, 0.0, 7.8, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 61.5, 0.0, 4.7, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 25.0]",48.5,31582.32031,39,86.7975235,7110.453125,0.326861365,1
19,6,"[0.0, 0.0, 21.9, 0.0, 48.4, 0.0, 0.0, 0.0, 15.6, 3.1, 1.6, 0.0, 3.1, 0.0, 0.0, 0.0, 3.1, 0.0, 1.6, 0.0, 6.3, 10.9, 26.2, 0.0, 0.0, 14.1, 3.1, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 65.6, 6.2, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 24.6]",48.5,31582.71484,39,86.7975235,7110.453125,0.327092792,1
20,5.4,"[12.3, 0.0, 0.0, 0.0, 24.6, 3.0, 0.0, 0.0, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 6.2, 29.2, 0.0, 0.0, 11.1, 6.2, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.2, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.6]",48.5,31578.99219,39,86.7975235,7110.453125,0.325414757,1
21,5,"[1.6, 0.0, 12.5, 1.6, 25.0, 1.6, 31.2, 3.1, 3.1, 0.0, 0.0, 0.0, 35.9, 0.0, 1.6, 28.1, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 33.8, 0.0, 0.0, 14.1, 4.7, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.2]",48.5,31591.30469,38,86.7975235,7110.453125,0.32523038,1
