Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
12,5,"[0.0, 1.6, 12.5, 1.6, 38.5, 0.0, 1.6, 27.7, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 59.4, 0.0, 0.0, 9.4, 1.6, 0.0, 1.6, 0.0, 7.8, 6.2, 1.6, 4.6, 1.6, 0.0, 0.0, 1.6, 0.0, 4.7, 0.0, 6.2, 0.0, 0.0, 0.0, 78.8, 3.0, 9.4, 0.0, 14.1, 0.0, 0.0, 0.0, 1.5, 1.5]",47,30629.71484,38,84.83452797,6949.644531,0.324714695,1
13,2.9,"[0.0, 0.0, 17.2, 3.1, 34.4, 0.0, 4.7, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.5]",47,30621.61328,36,84.82995033,6949.269531,0.32676409,1
14,3,"[0.0, 0.0, 15.4, 0.0, 21.5, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 66.2, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1]",47,30615.35938,31,84.82995033,6949.269531,0.327165966,1
15,4.8,"[10.8, 1.5, 27.7, 1.5, 43.1, 1.5, 1.5, 28.1, 0.0, 0.0, 10.6, 1.5, 26.2, 0.0, 1.5, 27.7, 4.6, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 3.1, 0.0, 55.4, 13.6, 14.1, 0.0, 1.6, 4.6, 1.5, 0.0, 0.0, 0.0]",47,30615.00781,41,84.84368324,6950.394531,0.325352257,1
16,2.6,"[0.0, 3.1, 10.9, 0.0, 45.3, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 70.3, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30605.72266,32,85.10155678,6971.519531,0.325376866,1
17,4.8,"[0.0, 0.0, 16.9, 0.0, 33.8, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 6.2, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 0.0, 1.5, 4.6, 0.0, 0.0, 0.0, 0.0, 1.5]",47,30612.01953,37,84.68728065,6937.582031,0.326840123,1
18,4.4,"[0.0, 0.0, 46.9, 0.0, 35.4, 0.0, 52.3, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 9.2, 0.0, 1.5, 0.0, 0.0, 3.1, 0.0, 0.0, 1.5, 4.6, 0.0, 7.7, 0.0, 1.5, 0.0, 3.1, 0.0, 4.6, 0.0, 0.0, 0.0, 3.1, 0.0, 76.9, 0.0, 4.6, 1.5, 0.0, 10.8, 0.0, 0.0, 0.0, 1.5]",47,30629.70313,27,86.45939827,7082.753906,0.326660386,1
19,4.5,"[3.1, 0.0, 14.1, 0.0, 23.1, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 7.8, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 76.9, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 4.6, 0.0]",47,30632.63672,30,86.82179451,7112.441406,0.32715068,1
20,2.5,"[3.1, 0.0, 9.4, 0.0, 31.2, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 12.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30628.26172,38,85.80956459,7029.519531,0.327106643,1
21,3.2,"[0.0, 0.0, 14.1, 1.5, 41.5, 0.0, 21.5, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.8, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 6.2, 0.0, 4.7, 1.5, 0.0, 0.0, 0.0, 0.0]",47,30620.50781,39,85.67223549,7018.269531,0.327085752,1
